Datafile,Gene,chr,No,Region,Ingroup,Outgroup,n,Sites,NetSites,S,Eta,Hap,Hd,VarHd,Pi,VarPi,AvNumDif,ThetaNuc,ThetaG,ZnS,G+Cn,G+Gc,G+Ctot,TajimaD,SigD,FuLiD*,SigD,FuLiF*,SigF,FuFs
evm.TU.Chr1.1,#N/A,Chr1,1,        1-743,23,0,23,743,729,31,31,16,0.949,0.00094,0.013967,n.d.,10.1818,0.011522,8.3992,0.2311,0.3612,0,0.3612,0.809,n.s.,1.6858,**  ,1.6574,*   ,-2.475
evm.TU.Chr1.2,rna-CPHLJ_6g5450,Chr1,2,       1-1935,23,0,23,1935,1935,1,1,2,0.237,0.01098,0.000123,n.d.,0.2372,0.00014,0.2709,n.a.,0.3282,0,0.3282,-0.2132,n.s.,0.6287,n.s.,0.4613,n.s.,0.266
evm.TU.Chr1.3,rna-CPHLJ_6g5440,Chr1,3,       1-3768,23,0,23,3768,3767,7,7,8,0.759,0.00721,0.000718,n.d.,2.7036,0.000503,1.8966,0.3193,0.3695,0,0.3695,1.3451,n.s.,1.2901,#   ,1.5151,#   ,-0.843
evm.TU.Chr1.4,rna-CPHLJ_6g5430,Chr1,4,       1-1038,23,0,23,1038,1038,7,7,7,0.743,0.00648,0.002346,n.d.,2.4348,0.001827,1.8966,0.3175,0.3982,0,0.3982,0.8971,n.s.,1.2901,#   ,1.3645,n.s.,-0.324
evm.TU.Chr1.5,rna-CPHLJ_6g5420,Chr1,5,       1-3867,23,0,23,3867,3867,18,18,8,0.739,0.00497,0.002118,n.d.,8.1897,0.001261,4.877,0.5761,0.357,0,0.357,2.4737,*   ,1.5727,**  ,2.1523,**  ,3.241
evm.TU.Chr1.6,rna-CPHLJ_6g5410,Chr1,6,       1-1261,23,0,23,1261,1259,21,21,15,0.941,0.00113,0.006436,n.d.,8.1028,0.004519,5.6898,0.4112,0.3937,0,0.3937,1.5679,n.s.,1.6086,**  ,1.8642,**  ,-2.577
evm.TU.Chr1.7,0,Chr1,7,       1-1956,23,0,23,1956,1956,19,19,15,0.949,0.00078,0.002688,n.d.,5.2569,0.002632,5.1479,0.1696,0.3869,0,0.3869,0.0775,n.s.,1.5856,**  ,1.3189,n.s.,-4.875
evm.TU.Chr1.8,rna-CPHLJ_6g5390,Chr1,8,       1-1569,23,0,23,1569,1569,1,1,2,0.356,0.00991,0.000227,n.d.,0.3557,0.000173,0.2709,n.a.,0.3078,0,0.3078,0.535,n.s.,0.6287,n.s.,0.692,n.s.,0.879
evm.TU.Chr1.9,rna-CPHLJ_6g5380,Chr1,9,       1-4308,23,0,23,4308,4308,9,9,14,0.929,0.00126,0.00087,n.d.,3.747,0.000566,2.4385,0.202,0.3177,0,0.3177,1.778,#   ,1.3744,*   ,1.7347,*   ,-5.685
evm.TU.Chr1.10,rna-CPHLJ_6g5370,Chr1,10,       1-1093,23,0,23,1093,1093,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.322,0,0.322,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr1.11,rna-CPHLJ_6g5360,Chr1,11,       1-1509,23,0,23,1509,1509,5,5,5,0.644,0.0084,0.001551,n.d.,2.3399,0.000898,1.3547,0.568,0.3634,0,0.3634,2.1335,*   ,1.1708,n.s.,1.6728,*   ,1.388
evm.TU.Chr1.12,rna-CPHLJ_6g5350,Chr1,12,       1-2398,23,0,23,2398,2398,6,6,6,0.791,0.00337,0.00093,n.d.,2.2292,0.000678,1.6257,0.4183,0.3658,0,0.3658,1.1362,n.s.,1.2361,n.s.,1.3991,n.s.,0.286
evm.TU.Chr1.13,rna-CPHLJ_6g5340,Chr1,13,       1-1692,23,0,23,1692,1692,5,5,5,0.708,0.00512,0.000934,n.d.,1.581,0.000801,1.3547,0.2562,0.3529,0,0.3529,0.4901,n.s.,1.1708,n.s.,1.1303,n.s.,0.257
evm.TU.Chr1.14,rna-CPHLJ_6g5330,Chr1,14,       1-3119,23,0,23,3119,3119,8,8,7,0.696,0.00774,0.000603,n.d.,1.8814,0.000695,2.1675,0.2595,0.3299,0,0.3299,-0.4282,n.s.,1.3355,#   ,0.9535,n.s.,-1.111
evm.TU.Chr1.15,rna-CPHLJ_6g5320,Chr1,15,       1-2718,23,0,23,2718,2718,5,5,5,0.617,0.01116,0.000407,n.d.,1.1067,0.000498,1.3547,0.1602,0.3643,0,0.3643,-0.537,n.s.,1.1708,n.s.,0.7912,n.s.,-0.676
evm.TU.Chr1.16,0,Chr1,16,        1-528,23,0,23,528,528,41,42,10,0.862,0.00329,0.027571,n.d.,14.5573,0.021552,11.3796,0.318,0.4276,0,0.4276,1.0834,n.s.,1.7333,**  ,1.7945,**  ,4.027
evm.TU.Chr1.17,0,Chr1,17,        1-531,23,0,23,531,530,26,26,13,0.933,0.00106,0.014662,n.d.,7.7708,0.013292,7.0445,0.2222,0.4217,0,0.4217,0.3881,n.s.,1.6533,**  ,1.4812,#   ,-1.067
evm.TU.Chr1.18,0,Chr1,18,        1-951,23,0,23,951,951,15,15,12,0.905,0.00171,0.005877,n.d.,5.5889,0.004274,4.0641,0.2037,0.3163,0,0.3163,1.3387,n.s.,1.5262,**  ,1.7137,*   ,-1.536
evm.TU.Chr1.19,rna-CPHLJ_5g3280,Chr1,19,        1-387,23,0,23,387,387,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.354,0,0.354,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr1.20,rna-CPHLJ_5g3270,Chr1,20,        1-684,23,0,23,684,684,1,1,2,0.166,0.00952,0.000243,n.d.,0.166,0.000396,0.2709,n.a.,0.3303,0,0.3303,-0.6622,n.s.,0.6287,n.s.,0.3229,n.s.,-0.213
evm.TU.Chr1.21,rna-CPHLJ_5g3265,Chr1,21,        1-444,23,0,23,444,444,0,0,1,0,0,0,n.d.,0,n.a.,n.a.,n.a.,0.2883,0,0.2883,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
evm.TU.Chr1.22,rna-CPHLJ_5g3241,Chr1,22,       1-1735,23,0,23,1735,1735,4,4,5,0.818,0.00116,0.001011,n.d.,1.7549,0.000625,1.0838,0.3223,0.2536,0,0.2536,1.7155,#   ,1.0898,n.s.,1.4633,#   ,0.542
evm.TU.Chr1.23,rna-CPHLJ_5g3230,Chr1,23,        1-591,23,0,23,591,591,1,1,2,0.514,0.00168,0.000869,n.d.,0.5138,0.000458,0.2709,n.a.,0.373,0,0.373,1.5327,n.s.,0.6287,n.s.,0.9996,n.s.,1.53
evm.TU.Chr1.24,#N/A,Chr1,24,        1-270,23,0,23,270,270,2,2,3,0.577,0.00767,0.00243,n.d.,0.6561,0.002007,0.5419,n.a.,0.3887,0,0.3887,0.4703,n.s.,0.8437,n.s.,0.8527,n.s.,0.422
